1.mp3,one degree
10.mp3,ten degrees
100.mp3,one hundred degrees
101.mp3,one hundred one degrees
102.mp3,one hundred two degrees
103.mp3,one hundred three degrees
104.mp3,one hundred four degrees
105.mp3,one hundred five degrees
106.mp3,one hundred six degrees
107.mp3,one hundred seven degrees
108.mp3,one hundred eight degrees
109.mp3,one hundred nine degrees
11.mp3,eleven degrees
110.mp3,one hundred ten degrees
111.mp3,one hundred eleven degrees
112.mp3,one hundred twelve degrees
113.mp3,one hundred thirteen degrees
114.mp3,one hundred fourteen degrees
115.mp3,one hundred fifteen degrees
116.mp3,one hundred sixty degrees
117.mp3,one hundred seventeen degrees
118.mp3,one hundred eighteen degrees
119.mp3,one hundred nineteen degrees
12.mp3,twelve degrees
120.mp3,one hundred twenty degrees
121.mp3,one hundred twenty one degrees
122.mp3,one hundred twenty two degrees
123.mp3,one hundred twenty three degrees
124.mp3,one hundred twenty four degrees
125.mp3,one hundred twenty five degrees
126.mp3,one hundred twenty six degrees
127.mp3,one hundred twenty seven degrees
128.mp3,one hundred twenty eight degrees
129.mp3,one hundred twenty nine degrees
13.mp3,thirteen degrees
130.mp3,one hundred thirty degrees
131.mp3,one hundred thirty one degrees
132.mp3,one hundred thirty two degrees
133.mp3,one hundred thirty three degrees
134.mp3,one hundred thirty four degrees
135.mp3,one hundred thirty five degrees
136.mp3,one hundred thirty six degrees
137.mp3,one hundred thirty seven degrees
138.mp3,one hundred thirty eight degrees
139.mp3,one hundred thirty nine degrees
14.mp3,fourteen degrees
15.mp3,fifteen degrees
16.mp3,sixteen degrees
17.mp3,seventeen degrees
18.mp3,eighteen degrees
19.mp3,nineteen degrees
1s.mp3,one degrees
2.mp3,two degrees
20.mp3,twenty degrees
21.mp3,twenty one degrees
22.mp3,twenty two degrees
23.mp3,twenty three degrees
24.mp3,twenty four degrees
25.mp3,twenty five degrees
26.mp3,twenty six degrees
27.mp3,twenty seven degrees
28.mp3,twenty eight degrees
29.mp3,twenty nine degrees
3.mp3,three degrees
30.mp3,thirty degrees
31.mp3,thirty one degrees
32.mp3,thirty two degrees
33.mp3,thirty three degrees
34.mp3,thirty four degrees
35.mp3,thirty five degrees
36.mp3,thirty six degrees
37.mp3,thirty seven degrees
38.mp3,thirty eight degrees
39.mp3,thirty nine degrees
4.mp3,four degrees
40.mp3,forty degrees
41.mp3,forty one degrees
42.mp3,forty two degrees
43.mp3,forty three degrees
44.mp3,forty four degrees
45.mp3,forty five degrees
46.mp3,forty six degrees
47.mp3,forty seven degrees
48.mp3,forty eight degrees
49.mp3,forty nine degrees
5.mp3,five degrees
50.mp3,fifty degrees
51.mp3,fifty one degrees
52.mp3,fifty two degrees
53.mp3,fifty three degrees
54.mp3,fifty four degrees
55.mp3,fifty five degrees
56.mp3,fifty six degrees
57.mp3,fifty seven degrees
58.mp3,fifty eight degrees
59.mp3,fifty nine degrees
6.mp3,six degrees
60.mp3,sixty degrees
61.mp3,sixty one degrees
62.mp3,sixty two degrees
63.mp3,sixty three degrees
64.mp3,sixty four degrees
65.mp3,sixty five degrees
66.mp3,sixty six degrees
67.mp3,sixty seven degrees
68.mp3,sixty eight degrees
69.mp3,sixty nine degrees
7.mp3,seventy degrees
70.mp3,seventy degrees
71.mp3,seventy one degrees
72.mp3,seventy two degrees
73.mp3,seventy three degrees
74.mp3,seventy four degrees
75.mp3,seventy five degrees
76.mp3,seventy six degrees
77.mp3,seventy seven degrees
78.mp3,seventy eight degrees
79.mp3,seventy nine degrees
8.mp3,eight degrees
80.mp3,eighty degrees
81.mp3,eighty one degrees
82.mp3,eighty two degrees
83.mp3,eighty three degrees
84.mp3,eighty four degrees
85.mp3,eighty five degrees
86.mp3,eighty six degrees
87.mp3,eighty seven degrees
88.mp3,eighty eight degrees
89.mp3,eighty nine degrees
9.mp3,nine degrees
90.mp3,ninety degrees
91.mp3,ninety one degrees
92.mp3,ninety two degrees
93.mp3,ninety three degrees
94.mp3,ninety four degrees
95.mp3,ninety five degrees
96.mp3,ninety six degrees
97.mp3,ninety seven degrees
98.mp3,ninety eight degrees
99.mp3,ninety nine degrees
CC1000.mp3,with freezing rain
CC1001.mp3,with some freezing rain
CC1002.mp3,with heavy freezing rain
CC1010.mp3,with rain and freezing rain
CC1100.mp3,with showers
CC1101.mp3,with light rain
CC1102.mp3,with heavy rain
CC1172.mp3,with heavy rain and windy conditions
CC1200.mp3,with rainy conditions
CC1212.mp3,with heavy sleet and freezing rain
CC1231.mp3,with rain and some freezing rain
CC1232.mp3,with heavy rain and freezing rain
CC1310.mp3,with some snow flurries
CC1312.mp3,with snow showers
CC1402.mp3,with heavy snow
CC1472.mp3,with heavy snow and windy conditions
CC1500.mp3,with blowing snow
CC1501.mp3,with drifting snow
CC1509.mp3,with blowing snow in the area
CC1600.mp3,with snow
CC1601.mp3,with light snow
CC1630.mp3,with snow and thunder
CC1632.mp3,with heavy snow and thunder
CC1730.mp3,with a strong thunderstorm and hail
CC1800.mp3,with sleet
CC1802.mp3,with heavy sleet
CC1811.mp3,with sleet and thunder
CC1832.mp3,with heavy sleet and thunder
CC1900.mp3,with blowing dust
CC1910.mp3,with blowing sand
CC1919.mp3,with blowing sand in the area
CC1929.mp3,with a sandstorm in the area
CC1939.mp3,with a dust storm in the area
CC2000.mp3,with foggy conditions
CC2100.mp3,under hazy skies
CC2200.mp3,under smoky skies
CC2410.mp3,with windy conditions
CC2510.mp3,with ice crystals
CC2600.mp3,under cloudy skies
CC2680.mp3,with showers in the area
CC2681.mp3,with showers in the area and foggy conditions
CC2690.mp3,under cloudy skies with windy conditions
CC2700.mp3,under mostly cloudy skies
CC2785.mp3,with showers in the area and windy conditions
CC2790.mp3,under mostly cloudy skies with windy conditions
CC2900.mp3,under partly cloudy skies
CC2990.mp3,under partly cloudy skies with windy conditions
CC3100.mp3,under clear skies
CC3190.mp3,under clear skies with windy conditions
CC3200.mp3,under sunny skies
CC3290.mp3,under sunny skies with windy conditions
CC3390.mp3,under fair skies with windy conditions
CC3400.mp3,under fair skies
CC400.mp3,with a thunderstorm
CC402.mp3,with a heavy thunderstorm
CC422.mp3,with a strong thunderstorm
CC429.mp3,with thunderstorms in the area
CC500.mp3,with rain and snow
CC600.mp3,with rain and sleet
CC610.mp3,with sleet and freezing rain
CC700.mp3,with snow and sleet
CC710.mp3,with snow and freezing rain
CC711.mp3,with light snow and freezing rain
CC720.mp3,with a mixture of wintry precipitation
CC730.mp3,with a wintry mix and thunder
CC800.mp3,with freezing drizzle
CC801.mp3,with some freezing drizzle
CC900.mp3,with drizzle
CC901.mp3,with light drizzle
CC910.mp3,with drizzle and foggy conditions
CCDUST.mp3,with a dust storm nearby
CCEF1000.mp3,with some freezing rain
CCEF1100.mp3,with showers
CCEF1200.mp3,with rainy conditions
CCEF1201.mp3,with a light rain
CCEF1211.mp3,with light rain
CCEF1270.mp3,with thunderstorms
CCEF1300.mp3,with some snow flurries
CCEF1400.mp3,with snow showers
CCEF1600.mp3,with snow
CCEF1601.mp3,with light snow
CCEF1800.mp3,with sleet
CCEF2000.mp3,with foggy conditions
CCEF2100.mp3,under hazy skies
CCEF2110.mp3,with windy conditions
CCEF2600.mp3,under cloudy skies
CCEF2800.mp3,under mostly cloudy skies
CCEF2810.mp3,with windy conditions
CCEF300.mp3,with strong thunderstorms
CCEF3000.mp3,under partly cloudy skies
CCEF3200.mp3,under sunny skies
CCEF3700.mp3,with some isolated thunderstorms
CCEF3800.mp3,with scattered thunderstorms
CCEF3900.mp3,with scattered showers
CCEF400.mp3,with thunderstorms
CCEF4000.mp3,with heavy rain
CCEF4100.mp3,with scattered snow showers
CCEF4200.mp3,with heavy snow
CCEF4500.mp3,with a few showers
CCEF500.mp3,with rain and snow
CCEF5100.mp3,with sleet and freezing rain
CCEF5200.mp3,with snow and sleet
CCEF5300.mp3,with rain and some freezing rain
CCEF5400.mp3,with snow squalls
CCEF5700.mp3,with scattered strong thunderstorms
CCEF5710.mp3,with a few strong thunderstorms
CCEF600.mp3,with rain and sleet
CCEF6003.mp3,with morning drizzle
CCEF6103.mp3,with morning showers
CCEF6143.mp3,with thunderstorms in the morning
CCEF6303.mp3,with rain in the morning
CCEF6403.mp3,with morning rain and snow
CCEF6703.mp3,with a wintry mix of precipitation in the morning
CCEF6803.mp3,with morning snow showers
CCEF6903.mp3,with snow in the morning
CCEF700.mp3,with a wintry mix of precipitation
CCEF701.mp3,with a light wintry mix
CCEF7103.mp3,with showers during the afternoon and evening
CCEF7143.mp3,with thunder storms during the afternoon and evening
CCEF7303.mp3,with rain during the afternoon and evening
CCEF7403.mp3,with rain and snow during the afternoon and evening
CCEF7404.mp3,with a mix of rain and snow during the afternoon and evening
CCEF7803.mp3,with snow showers during the afternoon and evening
CCEF7903.mp3,with snowy conditions
CCEF800.mp3,with some freezing drizzle
CCEF8000.mp3,with rain turning to snow
CCEF8200.mp3,with snow turning to rain
CCEF8300.mp3,with wintry conditions turning to rain
CCEF8400.mp3,with snow and freezing rain
CCEF900.mp3,with drizzle
CCEF9003.mp3,with morning clouds
CCSAND.mp3,with a sandstorm nearby
CCSAND2.mp3,with blowing sand nearby
CCSH0300.mp3,strong to severe thunderstorms
CCSH0310.mp3,windy with strong thunderstorms
CCSH0400.mp3,thunderstorms
